     time   lidar_F   lidar_R      gyro compass_x compass_y
   0.4900  4.682480  4.711177 -0.000515  0.952687  0.000030
   0.4950  4.789381  4.714911 -0.000607  0.969962  0.000024
   0.5000  4.146131  4.510135 -0.000816  0.997792  0.000021
   0.5050  4.890487  4.744881 -0.001065  0.934695  0.000017
   0.5100  4.440404  4.788655 -0.001246  1.050113  0.000011
   0.5150  4.744813  4.480466 -0.000603  0.926231  0.000007
   0.5200  4.783803  4.697727 -0.000031  0.928508  0.000007
   0.5250  4.702286  4.598360  0.000322  0.986944  0.000009
   0.5300  4.739186  4.545178  0.000361  1.000131  0.000012
   0.5350  4.401424  4.455847  0.000284  0.944115  0.000012
   0.5400  5.263639  4.898763  0.000201  1.019518  0.000013
   0.5450  4.555300  4.784363  0.000193  1.044940  0.000014
   0.5500  4.510661  5.134922  0.000192  1.055480  0.000016
   0.5550  4.447487  4.947613 -0.000304  1.047095  0.000014
   0.5600  4.820563  4.849423 -0.000485  0.996587  0.000011
   0.5650  4.971456  4.747679 -0.000489  0.941946  0.000009
   0.5700  4.581766  4.435652 -0.000395  0.960667  0.000007
   0.5750  4.241069  4.860598 -0.000327  0.940551  0.000005
   0.5800  4.473113  4.924109 -0.000341  0.989273  0.000003
   0.5850  4.501488  4.705432 -0.000418  0.945390  0.000001
   0.5900  4.644647  4.763737 -0.000535  1.052346 -0.000001
   0.5950  4.857651  4.336427 -0.000084  0.902242 -0.000002
   0.6000  4.930640  4.934175  0.000321  1.016540 -0.000000
   0.6050  4.752328  5.011449  0.000338  0.978053  0.000002
   0.6100  4.586087  4.906158  0.000428  1.023594  0.000004
   0.6150  4.231038  5.020040  0.000568  1.039686  0.000006
   0.6200  4.760227  5.245925  0.000109  0.938335  0.000007
   0.6250  5.015310  4.788188 -0.000125  1.081079  0.000006
   0.6300  4.360986  4.510902 -0.000177  1.061164  0.000006
   0.6350  4.936804  4.610202 -0.000210  1.025164  0.000004
   0.6400  4.330879  4.824002 -0.000287  1.028385  0.000003
   0.6450  4.779940  4.859999  0.000273  1.042514  0.000005
   0.6500  4.335290  4.183055  0.000370  0.936903  0.000006
   0.6550  4.833364  4.546238  0.000258  1.022977  0.000008
   0.6600  4.680839  4.683221 -0.000250  1.078340  0.000006
   0.6650  4.768270  4.602700 -0.001131  1.074123  0.000001
   0.6700  4.352848  4.665034 -0.002237  0.907939 -0.000010
   0.6750  4.767580  4.752146 -0.003321  1.004049 -0.000026
   0.6800  4.817548  4.773704 -0.006188  0.918775 -0.000056
   0.6850  4.340484  4.664408 -0.008452  1.048455 -0.000111
   0.6900  4.903632  4.323350 -0.011490  1.030319 -0.000155
