0.0000 5162.8432 5221.0596 3.2012 0.0167 1.0134 5000.0000 4994.3525 1.5542
0.0050 4966.9393 5293.3791 3.0913 0.0332 0.9549 4999.9064 4988.7058 1.5376
0.0100 4919.5276 4807.5890 3.3711 0.0522 1.0579 4999.7192 4983.0614 1.5211
0.0150 5411.0265 4843.6398 3.2399 0.0710 1.0106 4999.4385 4977.4209 1.5045
0.0200 4861.0965 4815.3320 3.2839 0.0810 1.0122 4999.0643 4971.7858 1.4879
0.0250 4953.4787 4285.9852 3.4890 0.0874 0.9163 4998.5968 4966.1577 1.4713
0.0300 4509.4077 5140.1842 3.5097 0.1092 0.9763 4998.0361 4960.5381 1.4548
0.0350 4868.2333 4964.0307 3.6195 0.1363 0.9648 4997.3823 4954.9285 1.4382
0.0400 5493.8646 5274.2165 3.2372 0.1565 0.9304 4996.6356 4949.3306 1.4216
0.0450 4979.3952 5393.3413 3.2506 0.1681 0.9963 4995.7962 4943.7458 1.4050
0.0500 4851.5392 4806.9765 3.4736 0.1818 1.0912 4994.8644 4938.1757 1.3885
0.0550 4841.8376 4730.9758 3.3891 0.2001 0.9443 4993.8404 4932.6219 1.3719
0.0600 4982.9506 5528.4650 3.1249 0.2218 1.0339 4992.7245 4927.0857 1.3553
0.0650 5144.4794 5106.4648 3.4243 0.2161 0.9735 4991.5169 4921.5688 1.3387
0.0700 5140.8417 5156.1018 3.3689 0.2222 0.9752 4990.2181 4916.0727 1.3222
0.0750 5383.6354 5405.1387 3.1920 0.2799 0.9026 4988.8284 4910.5988 1.3056
0.0800 5111.6331 5276.6353 3.4114 0.2659 0.9735 4987.3481 4905.1488 1.2890
0.0850 4862.6602 5539.0058 2.9791 0.2953 0.9009 4985.7777 4899.7240 1.2724
0.0900 5376.1983 4988.2668 3.3655 0.3025 0.8773 4984.1176 4894.3260 1.2559
0.0950 5432.9635 5250.7986 3.1382 0.3037 0.8834 4982.3683 4888.9563 1.2393
0.1000 5405.0690 5352.7910 3.5393 0.3144 0.9943 4980.5302 4883.6163 1.2227
0.1050 5005.6847 5524.7432 3.3155 0.3544 0.9700 4978.6039 4878.3075 1.2061
0.1100 5282.1635 5682.3689 3.1187 0.3721 0.9454 4976.5898 4873.0313 1.1896
0.1150 5260.0420 5432.1328 3.5093 0.3844 0.8955 4974.4885 4867.7893 1.1730
0.1200 4793.8153 5593.4961 3.3746 0.4288 0.9239 4972.3007 4862.5828 1.1564
0.1250 5034.6250 5331.8185 3.1238 0.3812 0.8660 4970.0268 4857.4133 1.1398
0.1300 5222.7056 5390.3456 3.1565 0.4509 0.9823 4967.6676 4852.2822 1.1233
0.1350 5744.7486 5802.4522 3.3725 0.4640 0.8900 4965.2237 4847.1909 1.1067
0.1400 5550.2435 5812.6502 3.1743 0.4407 0.8618 4962.6957 4842.1408 1.0901
0.1450 5559.8659 5679.1142 3.8027 0.4961 0.9082 4960.0843 4837.1333 1.0735
0.1500 5506.3784 5754.2212 3.3353 0.5262 0.9499 4957.3904 4832.1697 1.0570
0.1550 5590.2147 6241.0208 3.2924 0.4783 0.7684 4954.6145 4827.2515 1.0404
0.1600 5732.6721 5675.9881 2.9853 0.5108 0.8687 4951.7574 4822.3800 1.0238
0.1650 5817.6012 6086.4051 3.3612 0.5387 0.7853 4948.8201 4817.5565 1.0072
0.1700 5830.6549 6147.0146 3.1440 0.5467 0.8255 4945.8032 4812.7824 0.9907
0.1750 5865.2303 5758.9008 3.5764 0.5733 0.8780 4942.7075 4808.0589 0.9741
