0.000000 	4.675372 	4.784527 	-0.007203 	-0.000032 	1.068647 	4.999971 	5.000078 	1.571486 	
0.005000 	4.692661 	4.725901 	0.001012 	-0.000029 	0.990865 	4.999910 	5.000081 	1.571479 	
0.010000 	4.612314 	4.599403 	0.006406 	0.000007 	0.943858 	4.999826 	4.999987 	1.570145 	
0.015000 	4.898878 	4.928295 	0.011774 	0.000071 	0.911794 	4.999727 	4.999793 	1.569768 	
0.020000 	4.402480 	4.357808 	0.016458 	0.000152 	0.970704 	4.999622 	4.999503 	1.569198 	
0.025000 	4.536919 	4.311381 	0.017963 	0.000265 	1.027520 	4.999515 	4.999120 	1.568612 	
0.030000 	4.862880 	4.515255 	0.017278 	0.000334 	1.013910 	4.999411 	4.998643 	1.568041 	
0.035000 	4.664820 	4.634807 	0.007878 	0.000377 	0.950499 	4.999315 	4.998064 	1.567578 	
0.040000 	4.665554 	4.339687 	-0.001077 	0.000349 	1.039973 	4.999229 	4.997386 	1.567183 	
0.045000 	4.449600 	4.560738 	-0.008569 	0.000317 	1.054592 	4.999152 	4.996606 	1.566838 	
0.050000 	4.850440 	4.707100 	-0.013882 	0.000242 	1.006494 	4.999083 	4.995723 	1.566509 	
0.055000 	4.778606 	4.627358 	-0.019341 	0.000151 	0.975226 	4.999020 	4.994736 	1.566209 	
0.060000 	4.801510 	4.745690 	-0.024753 	0.000033 	1.026847 	4.998965 	4.993648 	1.565953 	
0.065000 	4.802697 	4.396066 	-0.029103 	-0.000108 	1.025018 	4.998917 	4.992459 	1.575854 	
0.070000 	4.693613 	4.577414 	-0.039170 	-0.000300 	0.960136 	4.998876 	4.991179 	1.576014 	
0.075000 	5.077242 	4.925667 	-0.049754 	-0.000517 	0.976419 	4.998840 	4.989833 	1.576090 	
0.080000 	4.747986 	4.809652 	-0.077765 	-0.000922 	1.030885 	4.998809 	4.988428 	1.576128 	
0.085000 	4.776144 	5.017913 	-0.102895 	-0.001497 	1.034436 	4.998780 	4.986972 	1.576181 	
0.090000 	4.699900 	4.576609 	-0.115857 	-0.001988 	1.003794 	4.998755 	4.985469 	1.576306 	
0.095000 	4.581027 	4.979699 	-0.136719 	-0.002877 	1.014802 	4.998734 	4.983923 	1.576559 	
0.100000 	5.183000 	4.617643 	-0.179079 	-0.003688 	0.978473 	4.998715 	4.982337 	1.576986 	
0.105000 	5.069075 	4.619118 	-0.207535 	-0.004463 	0.938501 	4.998706 	4.980721 	1.577580 	
0.110000 	5.041267 	4.658256 	-0.237745 	-0.006088 	0.995059 	4.998713 	4.979076 	1.578361 	
0.115000 	4.175158 	4.314817 	-0.280405 	-0.007708 	0.994529 	4.998732 	4.977404 	1.579348 	
0.120000 	4.896522 	4.787058 	-0.287348 	-0.008996 	0.918439 	4.998758 	4.975704 	1.580558 	
0.125000 	4.797230 	4.498090 	-0.337072 	-0.010198 	0.965894 	4.998785 	4.973971 	1.581969 	
0.130000 	4.518770 	4.629231 	-0.341239 	-0.012218 	0.949476 	4.998812 	4.972205 	1.583575 	
0.135000 	4.537482 	4.639327 	-0.351311 	-0.013563 	0.978124 	4.998839 	4.970405 	1.585368 	
0.140000 	4.811694 	4.570162 	-0.425924 	-0.016461 	1.049801 	4.998865 	4.968569 	1.587336 	
0.145000 	4.654766 	4.806828 	-0.436501 	-0.018940 	1.036396 	4.998891 	4.966695 	1.589472 	
0.150000 	4.431087 	4.767974 	-0.450892 	-0.021609 	1.015723 	4.998925 	4.964794 	1.591717 	
0.155000 	5.298135 	4.794120 	-0.497825 	-0.022762 	0.947922 	4.998966 	4.962876 	1.593998 	
